Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Set pieces / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2024-11-22,Stanford Cardinal - UCONN Huskies 2:1,United States. NCAA D1 College Cup (W),96,UCONN Huskies,4-2-3-1 (78.2%),1,0.18,4,2,50,256,140,54.69,33.85,158,42,75,41,90,56,27,7,259,111,42.86,4,2,50,21,4,19.05,0,0,0,20,0,0,1,0,0,1,0,0,0,0,0,11,1,9.09,1,2,13,0,8,2,73,14,19.18,0,2,31,10,32.26,127,75,59.06,39,16,41.03,0,0,0,61,22,4,0,0,137,64,46.72,35,31,88.57,67,38,56.72,74,26,35.14,35,12,34.29,78,26,33.33,0,0,0,35,23,65.71,18,13.35,1.72,28.91,25.27,23.35,20.44
2024-11-22,Stanford Cardinal - UCONN Huskies 2:1,United States. NCAA D1 College Cup (W),96,Stanford Cardinal,4-2-3-1 (100.0%),2,4.11,31,10,32.26,539,421,78.11,66.15,148,8,34,106,108,25,59,24,259,143,55.21,17,6,35.29,74,28,37.84,0,0,0,11,3,27.27,4,2,50,1,0,0,0,0,0,39,14,35.9,14,13,48,11,19,41,127,52,40.94,1,1,4,3,75,73,59,80.82,39,22,56.41,2,0,0,50,9,6,0,0,199,138,69.35,70,67,95.71,184,154,83.7,66,33,50,85,53,62.35,106,87,82.08,0,0,0,45,43,95.56,3,14.38,3.46,12.24,18.16,20,3.84
2024-11-16,Rutgers Scarlet Knights - UCONN Huskies 1:2,United States. NCAA D1 College Cup (W),104,UCONN Huskies,4-1-4-1 (100.0%),2,1.72,10,5,50,317,211,66.56,42.48,159,24,72,63,106,43,51,12,282,125,44.33,4,1,25,35,8,22.86,1,1,100,25,1,4,7,1,14.29,2,0,0,0,0,0,14,4,28.57,4,6,19,4,9,12,130,41,31.54,1,1,12,7,58.33,104,67,64.42,23,8,34.78,2,0,0,42,12,11,0,0,154,85,55.19,50,44,88,75,60,80,75,39,52,50,28,56,85,54,63.53,0,0,0,32,24,75,8,12.8,2.38,23.66,16.15,19.33,10.43
2024-11-16,Rutgers Scarlet Knights - UCONN Huskies 1:2,United States. NCAA D1 College Cup (W),104,Rutgers Scarlet Knights,4-1-4-1 (100.0%),1,2.35,12,7,58.33,503,374,74.35,57.52,160,21,73,66,108,48,46,14,282,146,51.77,7,4,57.14,24,11,45.83,0,0,0,24,0,0,1,0,0,3,1,33.33,0,0,0,5,1,20,1,6,21,2,5,14,104,37,35.58,0,2,10,5,50,130,89,68.46,23,12,52.17,3,2,66.67,38,15,11,1,0,195,121,62.05,77,70,90.91,155,130,83.87,55,26,47.27,59,26,44.07,80,43,53.75,0,0,0,27,21,77.78,11,15,3.99,10.93,19.62,16.91,5.79
2024-11-10,Xavier Musketeers - UCONN Huskies 1:2,United States. NCAA D1 Big East (W),124,UCONN Huskies,4-2-3-1 (100.0%),2,0.85,13,4,30.77,353,209,59.21,43.29,208,37,96,75,132,62,53,17,350,179,51.14,6,1,16.67,33,9,27.27,0,0,0,35,4,11.43,4,1,25,10,3,30,0,0,0,19,8,42.11,8,3,26,7,9,17,101,31,30.69,0,1,24,8,33.33,147,104,70.75,54,27,50,4,2,50,54,16,14,1,0,188,89,47.34,36,32,88.89,78,56,71.79,109,47,43.12,54,22,40.74,114,53,46.49,0,0,0,43,36,83.72,19,14.13,2.06,30.88,18.9,21.72,7.73
2024-11-10,Xavier Musketeers - UCONN Huskies 1:2,United States. NCAA D1 Big East (W),124,Xavier Musketeers,3-3-3-1 (52.98%),1,4.16,24,8,33.33,526,357,67.87,56.71,232,36,79,117,152,54,75,23,350,160,45.71,5,0,0,41,17,41.46,0,0,0,36,7,19.44,9,3,33.33,1,0,0,0,0,0,28,9,32.14,9,18,41,9,14,45,147,43,29.25,2,2,13,4,30.77,101,70,69.31,54,24,44.44,0,0,0,48,14,17,2,0,231,141,61.04,53,45,84.91,164,116,70.73,84,36,42.86,102,49,48.04,131,87,66.41,0,0,0,46,39,84.78,13,16.07,3.06,15.97,14.26,19.24,5.71
2024-11-08,Georgetown Hoyas - UCONN Huskies 0:2,United States. NCAA D1 Big East (W),97,UCONN Huskies,4-2-3-1 (100.0%),2,0.62,8,3,37.5,316,195,61.71,42.93,174,35,65,74,113,55,41,17,291,164,56.36,5,1,20,39,6,15.38,0,0,0,21,2,9.52,2,1,50,2,0,0,0,0,0,18,3,16.67,5,1,23,1,10,4,93,40,43.01,0,0,10,2,20,119,82,68.91,55,28,50.91,2,2,100,53,14,8,0,0,163,85,52.15,43,39,90.7,68,48,70.59,69,27,39.13,56,26,46.43,83,41,49.4,2,0,0,44,33,75,11,14.23,2.14,21.84,22.86,22.22,9.38
2024-11-08,Georgetown Hoyas - UCONN Huskies 0:2,United States. NCAA D1 Big East (W),97,Georgetown Hoyas,4-3-3 (35.34%),0,1.52,10,2,20,396,284,71.72,57.07,169,24,54,91,120,50,51,19,291,119,40.89,3,1,33.33,43,7,16.28,0,0,0,28,3,10.71,7,1,14.29,1,0,0,0,0,0,21,7,33.33,6,2,29,2,12,14,119,37,31.09,1,2,8,3,37.5,93,53,56.99,55,25,45.45,0,0,0,58,21,8,0,0,179,110,61.45,48,43,89.58,101,78,77.23,45,17,37.78,73,34,46.58,77,51,66.23,5,2,40,30,23,76.67,13,13.42,2.73,11.36,16.32,20.78,5.38
2024-11-03,Creighton Bluejays - UCONN Huskies 0:2,United States. NCAA D1 Big East (W),98,UCONN Huskies,4-3-2-1 (100.0%),2,2.02,9,4,44.44,308,206,66.88,50.19,156,31,50,75,108,49,48,11,318,165,51.89,3,1,33.33,28,5,17.86,0,0,0,32,3,9.38,5,0,0,7,1,14.29,0,0,0,21,5,23.81,5,1,17,0,13,11,95,36,37.89,2,0,10,5,50,103,75,72.82,83,44,53.01,2,1,50,60,30,11,1,0,146,81,55.48,40,39,97.5,84,62,73.81,83,40,48.19,49,22,44.9,74,45,60.81,0,0,0,29,20,68.97,10,12.61,2.22,26.95,15.34,20.63,6.22
2024-11-03,Creighton Bluejays - UCONN Huskies 0:2,United States. NCAA D1 Big East (W),98,Creighton Bluejays,4-4-2 (32.95%),0,1.6,10,5,50,311,214,68.81,49.81,174,27,55,92,120,50,46,24,318,137,43.08,4,2,50,36,5,13.89,0,0,0,24,3,12.5,7,3,42.86,8,0,0,0,0,0,11,2,18.18,3,12,24,1,10,24,103,28,27.18,0,2,9,4,44.44,95,59,62.11,83,30,36.14,4,4,100,39,44,18,0,0,146,82,56.16,38,32,84.21,80,65,81.25,85,42,49.41,51,27,52.94,64,49,76.56,3,0,0,33,26,78.79,6,12.83,2.43,27.33,17.76,20.93,6.94
